date,dominance_btc,ratio_eth_btc
2017-07-18,44.776,0.09931049
2017-07-19,47.4783,0.0849119
2017-07-20,49.2856,0.07936092
2017-07-21,48.4796,0.0810963
2017-07-22,47.9837,0.08198019
2017-07-23,47.6251,0.08301611
2017-07-24,48.0006,0.08192417
2017-07-25,48.6118,0.07983265
2017-07-26,48.3452,0.0802659
2017-07-27,49.7128,0.07612711
2017-07-28,52.2621,0.06853956
2017-07-29,50.2503,0.07611256
2017-07-30,51.7246,0.07156944
2017-07-31,52.2962,0.07013206
2017-08-01,48.818,0.08276616
2017-08-02,49.0287,0.08088211
2017-08-03,49.3289,0.0803044
2017-08-04,49.906,0.07743006
2017-08-05,50.9566,0.07689438
2017-08-06,50.3478,0.08235961
2017-08-07,51.3269,0.07948153
2017-08-08,49.613,0.08597485
2017-08-09,49.405,0.08867933
2017-08-10,50.0557,0.08770282
2017-08-11,51.4015,0.0846505
2017-08-12,53.2861,0.07988828
2017-08-13,55.542,0.07309489
2017-08-14,56.723,0.06966951
2017-08-15,57.0696,0.06880682
2017-08-16,57.3454,0.06886681
2017-08-17,57.0922,0.06998366
2017-08-18,56.4738,0.07121101
2017-08-19,56.5021,0.07066896
2017-08-20,55.5043,0.07292231
2017-08-21,52.2832,0.08021488
2017-08-22,50.8984,0.07723162
2017-08-23,50.9612,0.07666216
2017-08-24,52.9845,0.07499271
2017-08-25,52.7252,0.07586029
2017-08-26,52.4151,0.07656247
2017-08-27,52.2455,0.07944006
2017-08-28,51.3926,0.07929929
2017-08-29,51.9464,0.0811377
2017-08-30,50.8875,0.08396058
2017-08-31,50.2764,0.08198308
2017-09-01,50.9454,0.07962337
2017-09-02,52.0869,0.07597373
2017-09-03,51.8877,0.07629219
2017-09-04,53.2002,0.07160623
2017-09-05,52.8412,0.07222048
2017-09-06,52.3349,0.07345056
2017-09-07,52.7694,0.0725795
2017-09-08,52.983,0.07134236
2017-09-09,53.2366,0.07040177
2017-09-10,52.9865,0.07070384
2017-09-11,52.9452,0.0707433
2017-09-12,53.136,0.07058245
2017-09-13,52.8557,0.07125005
2017-09-14,53.299,0.06938848
2017-09-15,53.6365,0.06998774
2017-09-16,53.9143,0.06876001
2017-09-17,53.7927,0.06993678
2017-09-18,53.5944,0.072686
2017-09-19,53.7512,0.07251792
2017-09-20,53.6783,0.07310068
2017-09-21,53.9308,0.07152321
2017-09-22,53.5252,0.07283143
2017-09-23,53.1404,0.07551085
2017-09-24,52.785,0.07743233
2017-09-25,53.3125,0.07517884
2017-09-26,53.0927,0.07425876
2017-09-27,53.0165,0.07376487
2017-09-28,53.6999,0.07222794
2017-09-29,54.3384,0.07015238
2017-09-30,54.8138,0.06959291
2017-10-01,54.8208,0.06912716
2017-10-02,55.3341,0.06756132
2017-10-03,55.1844,0.06771688
2017-10-04,54.2796,0.06928503
2017-10-05,53.6192,0.06832033
2017-10-06,53.4079,0.07040118
2017-10-07,53.3113,0.07018464
2017-10-08,53.0499,0.06712208
2017-10-09,55.7543,0.06199221
2017-10-10,55.053,0.06281393
2017-10-11,54.9511,0.06272882
2017-10-12,58.2349,0.0561255
2017-10-13,57.598,0.05987073
2017-10-14,58.1444,0.05863381
2017-10-15,57.5432,0.05892809
2017-10-16,57.4755,0.05809215
2017-10-17,58.337,0.05646698
2017-10-18,59.0393,0.05610677
2017-10-19,60.0806,0.05401967
2017-10-20,61.8904,0.05067668
2017-10-21,61.8038,0.04974364
2017-10-22,62.403,0.04917163
2017-10-23,62.579,0.04844772
2017-10-24,59.9186,0.05386253
2017-10-25,60.9941,0.05194614
2017-10-26,61.8323,0.05018996
2017-10-27,61.3691,0.05146895
2017-10-28,61.627,0.05120455
2017-10-29,62.7934,0.04928749
2017-10-30,62.4118,0.05003171
2017-10-31,63.9296,0.04740734
2017-11-01,65.9921,0.04319095
2017-11-02,66.9143,0.04039127
2017-11-03,66.2002,0.04248855
2017-11-04,67.342,0.04043352
2017-11-05,67.4363,0.04019849
2017-11-06,65.8649,0.04265942
2017-11-07,66.1683,0.04102989
2017-11-08,65.8102,0.04158077
2017-11-09,64.0465,0.04488021
2017-11-10,64.0185,0.04526262
2017-11-11,62.1175,0.04981278
2017-11-12,60.9766,0.05269715
2017-11-13,62.9487,0.04839937
2017-11-14,62.186,0.05069713
2017-11-15,64.3586,0.04557904
2017-11-16,65.4882,0.04208252
2017-11-17,65.2359,0.0429907
2017-11-18,64.6383,0.04456426
2017-11-19,64.8734,0.0443899
2017-11-20,64.6588,0.04468744
2017-11-21,64.7341,0.04463633
2017-11-22,63.8213,0.04616214
2017-11-23,62.2858,0.05141194
2017-11-24,61.2191,0.05751048
2017-11-25,62.0986,0.053287
2017-11-26,63.4659,0.05067413
2017-11-27,63.9121,0.04908659
2017-11-28,63.1814,0.04711187
2017-11-29,65.389,0.04378015
2017-11-30,65.1814,0.04387027
2017-12-01,65.4305,0.04270404
2017-12-02,65.6291,0.04205423
2017-12-03,66.1167,0.04141149
2017-12-04,66.4624,0.04038187
2017-12-05,66.5291,0.03902925
2017-12-06,70.6704,0.03103413
2017-12-07,75.1679,0.0253489
2017-12-08,72.0519,0.02840349
2017-12-09,70.0473,0.03209698
2017-12-10,72.2,0.02874816
2017-12-11,70.9961,0.03000791
2017-12-12,65.0145,0.03922844
2017-12-13,62.6913,0.04248208
2017-12-14,57.5319,0.04204624
2017-12-15,60.2376,0.03894838
2017-12-16,61.911,0.03553002
2017-12-17,60.6608,0.03788642
2017-12-18,58.6957,0.04149865
2017-12-19,56.8053,0.0466681
2017-12-20,55.6172,0.04845663
2017-12-21,50.4513,0.05077123
2017-12-22,50.4984,0.04769663
