date,price_usd,market_cap_usd,mvrv,supply,realized_price_usd,sma_200d,mayer_multiple,ath_usd,drawdown_pct,halving_number,days_since_halving
2018-08-10,0.221446665391852,23071031185.3022850778361257183924,2.05167065,104183240440.6626487,0.10793480200725783,0.3045611033554222,0.727100942806292,0.880229965321243,-74.84218055323369,2,762
2018-08-11,0.219308742738963,22848295473.6629950197670381126182,2.03322588,104183240432.2278914,0.10786245881296919,0.3032189895506474,0.7232684966860604,0.880229965321243,-75.08506283821804,2,763
2018-08-12,0.222790226252043,23211007705.8021798364219291507716,2.06406233,104183240424.3062412,0.10793774151773942,0.30149824691365645,0.7389436871778761,0.880229965321243,-74.68954307062985,2,764
2018-08-13,0.222131796649227,23142410374.1473463278298108935995,2.05872734,104183240415.1127185,0.10789762798274541,0.29957971236681724,0.7414781024198329,0.880229965321243,-74.76434506882993,2,765
2018-08-14,0.216387840321759,22548292663.2804749223828319439997,2.00754272,104203141127.3026083,0.10778741501538708,0.2975144485095785,0.7273187618476028,0.880229965321243,-75.41689685117825,2,766
2018-08-15,0.215410038326716,22446402621.3446305554751520258352,1.99889063,104203141114.9920372,0.10776479467849424,0.2955572196663072,0.7288268531214371,0.880229965321243,-75.52798168509278,2,767
2018-08-16,0.213798497102583,22278474961.8139582927766534437053,1.9844569,104203141105.9194091,0.1077365283683324,0.29357243648459236,0.728264886386239,0.880229965321243,-75.7110635259325,2,768
2018-08-17,0.237495803275499,24747808698.8414583908001985636679,2.19708637,104203141097.7548821,0.10809579746994606,0.2919019906666717,0.8136148805737329,0.880229965321243,-73.01889135428102,2,769
2018-08-18,0.222985421663407,23235781354.4845921561062600681333,2.0672919,104203141089.4593819,0.10786353957242661,0.2906257054854705,0.767259803433165,0.880229965321243,-74.66736756887984,2,770
2018-08-19,0.228479111139933,23808241052.1723034148741393636988,2.11671794,104203141080.9841836,0.1079402724483608,0.2891525413096359,0.7901680894973306,0.880229965321243,-74.04324777144473,2,771
2018-08-20,0.212872436283965,22181976508.53270440049465195622,1.97837684,104203141072.443308,0.10759953916765674,0.28798425487875784,0.739180815192778,0.880229965321243,-75.81627021680902,2,772
2018-08-21,0.219366066334517,22862993675.4573422902466676059071,2.03648081,104223018890.2278563,0.10771820940189317,0.2870432434928883,0.7642265453287074,0.880229965321243,-75.07855049510174,2,773
2018-08-22,0.208272886483582,21706828979.5116886666746356480332,1.93652687,104223018876.8369626,0.10754970132874118,0.28589260029108526,0.728500444822728,0.880229965321243,-76.33880977824107,2,774
2018-08-23,0.215606906949969,22471202729.7587473297725261411279,2.00278655,104223018861.6968991,0.10765346259688481,0.28505130219326885,0.7563793088858947,0.880229965321243,-75.50561609530271,2,775
2018-08-24,0.21863405101619,22786700819.867740516464406301828,2.03008221,104223018847.9669612,0.10769714149467373,0.28456114878909067,0.7683201025387899,0.880229965321243,-75.16171232180233,2,776
2018-08-25,0.217597436621518,22678661736.4727486535637200691162,2.0206913,104223018839.6901259,0.10768465060522503,0.28382399451090556,0.7666632872125162,0.880229965321243,-75.2794786369145,2,777
2018-08-26,0.212007784056786,22096091270.2842168004252121168754,1.97042904,104223018832.0151889,0.10759473178328006,0.2832037586984062,0.7486051210307582,0.880229965321243,-75.9145004817675,2,778
2018-08-27,0.224383908826316,23385968353.2969731903312178475664,2.08186143,104223018823.5059404,0.10778042457240586,0.2825692985740075,0.7940845306219558,0.880229965321243,-74.50849009162891,2,779
2018-08-28,0.236649506405711,24669030189.4503864461748662398378,2.19129527,104242897287.7631798,0.10799526181869183,0.28180162945235476,0.8397733784066788,0.880229965321243,-73.11503632810944,2,780
2018-08-29,0.226207314172644,23580505813.2383915680720936890288,2.09777482,104242897270.9586252,0.10783202849800819,0.2809832835431031,0.8050561276110348,0.880229965321243,-74.30133907221746,2,781
2018-08-30,0.221152510828374,23053578465.6560674575785103644628,2.05169269,104242897262.6354622,0.10779027088524354,0.2802780162969512,0.7890469390009724,0.880229965321243,-74.87559847526168,2,782
2018-08-31,0.22235449584643,23178876864.871119497606652306539,2.06255499,104242897255.7393273,0.10780536612331969,0.2794554160970149,0.7956707332851909,0.880229965321243,-74.73904495340817,2,783
2018-09-01,0.229606181223182,23934813557.0070261453802006049998,2.12765578,104242897249.1027489,0.10791509763068065,0.27860735460737734,0.8241210342302362,0.880229965321243,-73.91520508627693,2,784
2018-09-02,0.225038506792284,23458665939.1000276650146116244568,2.08667035,104242897242.2615002,0.1078457394059795,0.27748446327575704,0.8109949801717238,0.880229965321243,-74.43412339295273,2,785
2018-09-03,0.220662428909911,23002490900.4615045395681645704528,2.03866637,104242897234.9100848,0.10823861724364003,0.2763625265256475,0.7984527847679547,0.880229965321243,-74.93127505272109,2,786
2018-09-04,0.231259796701822,24111827348.0495607019438484520098,2.13283138,104262944497.6053359,0.10842854192337606,0.27526728615148327,0.8401281530219927,0.880229965321243,-73.72734332926021,2,787
2018-09-05,0.206964515437933,21578729782.9227526222712001922757,1.91532872,104262944482.3551929,0.10805691643256568,0.27392753984387375,0.7555447530244436,0.880229965321243,-76.48744946300475,2,788
2018-09-06,0.206792262052275,21560770135.615007984916558012615,1.95395554,104262944472.0937506,0.10583263427389704,0.27278537625222454,0.7580767887684324,0.880229965321243,-76.50701859748601,2,789
2018-09-07,0.20592342671479,21470182802.916719894400473251949,1.94606811,104262944461.6495931,0.10581511800981622,0.2715924294073344,0.7582075360648067,0.880229965321243,-76.60572409169943,2,790
2018-09-08,0.193305790478343,20154630894.9885143389343881653918,1.83019603,104262944452.4919026,0.10562026543044299,0.2706016230115873,0.7143556211045547,0.880229965321243,-78.03917179667982,2,791
2018-09-09,0.189997510145552,19809699844.681026861425750443776,1.79981076,104262944443.352688,0.10556527073188071,0.269663597713,0.7045723329248327,0.880229965321243,-78.41501452677633,2,792
2018-09-10,0.189546286535129,19762653940.688282084704577370554,1.79587861,104262944434.026826,0.1055451551567447,0.2688620557516262,0.7049945594042143,0.880229965321243,-78.46627654104533,2,793
2018-09-11,0.200080157356063,20864926714.0446805400546408551031,1.89242433,104282838387.1840937,0.1057268997149614,0.26802773810760333,0.7464904892632349,0.880229965321243,-77.26955849735893,2,794
2018-09-12,0.197143603792669,20558694569.3163242187788872816986,1.86570531,104282838366.5816994,0.1056670647481134,0.2672999920387554,0.7375368861368521,0.880229965321243,-77.60317058500495,2,795
2018-09-13,0.207063338873938,21593152695.2719595928995855729194,1.95691506,104282838346.4736013,0.10581110192587408,0.266586025304739,0.7767224055996197,0.880229965321243,-76.47622246098274,2,796
2018-09-14,0.201565315635702,21019803224.3696680203395261204184,1.90642263,104282838334.9429892,0.10572960709960832,0.2658130894711033,0.7582971780538079,0.880229965321243,-77.10083460267795,2,797
2018-09-15,0.202847257918601,21153487801.9387726892452667604487,1.9182773,104282838323.7366287,0.10574449164289282,0.2650402374038485,0.765345141196495,0.880229965321243,-76.95519740178679,2,798
2018-09-16,0.207063929685875,21593214299.94134123933444776845,1.95693288,104282838313.2648348,0.10581044030793484,0.2644225435017418,0.7830797137934309,0.880229965321243,-76.47615534080275,2,799
2018-09-17,0.196003014606128,20439750679.0364054095903776848144,1.85509603,104282838302.8214923,0.10565653283519127,0.2637170213881505,0.7432323237021626,0.880229965321243,-77.73274913055295,2,800
2018-09-18,0.207839355704501,21678212345.634603072768725768299,1.96321129,104302730693.872799,0.1058670336520431,0.26316517053954763,0.7897677161395776,0.880229965321243,-76.38806176876184,2,801
2018-09-19,0.205809324237327,21466474515.3709087276093113237225,1.94503823,104302730670.3415175,0.10581248278977375,0.26247521034261356,0.7841095696949073,0.880229965321243,-76.6186868948257,2,802
2018-09-20,0.233208740873374,24324308486.0972098919750005976998,2.19552948,104302730656.6722877,0.10621981758740677,0.2618382522490351,0.8906595536375965,0.880229965321243,-73.50593026127397,2,803
2018-09-21,0.248513142367893,25920599349.7676896099752329487897,2.33796024,104302730643.4983029,0.10629485399969546,0.2613251511929292,0.9509729210275001,0.880229965321243,-71.76724808758388,2,804
2018-09-22,0.23998436229875,25031024296.627118662759200283,2.25953498,104302730631.5345576,0.10620962473382464,0.2608673222246927,0.9199479653187239,0.880229965321243,-72.73617443696469,2,805
